prodcode,productname,gemscriptcode
29875,Dosulepin 25mg capsules (Mylan Ltd),60464020
301,Venlafaxine 37.5mg tablets,54686020
30258,Fluoxetine 20mg/5ml oral solution (Teva UK Ltd),64692020
30375,Anafranil 25mg/2ml solution for injection ampoules (Novartis Pharmaceuticals UK Ltd),61477020
30376,Thaden 25mg capsules (Opus Pharmaceuticals Ltd),84816020
3083,Mianserin 10mg tablets,64729020
30983,Trazodone 150mg tablets (Mylan Ltd),62913020
31168,MIRTAZAPINE,!8502180
31824,Dosulepin 25mg capsules (IVAX Pharmaceuticals UK Ltd),53818020
31826,Dosulepin 75mg tablets (IVAX Pharmaceuticals UK Ltd),53817020
3183,Nortriptyline 10mg tablets,65153020
3194,Clomipramine 10mg capsules,61463020
3196,Trimipramine 50mg capsules,67282020
32121,Dosulepin 75mg tablets (A A H Pharmaceuticals Ltd),49589020
32401,Sertraline 50mg tablets (A A H Pharmaceuticals Ltd),71725020
32439,Amitriptyline 25mg Tablet (Sussex Pharmaceutical Ltd),48534020
32546,Paxoran 10mg Tablet (Ranbaxy (UK) Ltd),88346020
32848,Citalopram 10mg tablets (Actavis UK Ltd),67890020
32863,Imipramine 10mg tablets (Teva UK Ltd),68803020
32899,Paroxetine 20mg tablets (Actavis UK Ltd),65578020
33071,Felicium 20mg capsules (Opus Pharmaceuticals Ltd),49680020
33074,Praminil 10mg Tablet (DDSA Pharmaceuticals Ltd),59528020
33090,Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd),48496020
33164,Dosulepin 25mg capsules (Sandoz Ltd),66765020
33337,Mirtazapine 45mg tablets (A A H Pharmaceuticals Ltd),69832020
33410,Fluoxetine 20mg capsules (Zentiva),61616020
3349,Nardil 15mg tablets (Kyowa Kirin Ltd),50620020
3353,L-TRYPTOPHAN 500 MG CAP,00062007
3355,Trazodone 50mg capsules,67151020
3356,Parstelin Tablet (GlaxoSmithKline Consumer Healthcare),51013020
33624,Amitriptyline 50mg tablets (Teva UK Ltd),48481020
33720,Citalopram 10mg tablets (IVAX Pharmaceuticals UK Ltd),71225020
33779,Prozit 20mg/5ml oral solution (Pinewood Healthcare),80777020
33978,Paroxetine 20mg tablets (Mylan Ltd),66399020
34003,Trazodone 50mg capsules (A A H Pharmaceuticals Ltd),61096020
34046,Lofepramine 70mg tablets (A A H Pharmaceuticals Ltd),59084020
34058,Dosulepin 75mg tablets (Teva UK Ltd),54620020
34107,Amitriptyline 50mg tablets (Wockhardt UK Ltd),48486020
34129,Amitriptyline 25mg tablets (Wockhardt UK Ltd),48485020
34182,Amitriptyline 50mg tablets (Kent Pharmaceuticals Ltd),48518020
34197,Amitriptyline 25mg Tablet (Berk Pharmaceuticals Ltd),48492020
34202,Fluoxetine 20mg capsules (Genus Pharmaceuticals Ltd),61455020
34216,Fluoxetine 20mg/5ml oral solution (A A H Pharmaceuticals Ltd),64717020
34222,Imipramine 10mg tablets (Actavis UK Ltd),49841020
34223,Dosulepin 25mg capsules (Teva UK Ltd),54621020
34224,Amitriptyline 25mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),55686020
34245,Clomipramine 25mg capsules (A A H Pharmaceuticals Ltd),50947020
34251,Amitriptyline 50mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),55687020
34274,Amitriptyline 50mg tablets (A A H Pharmaceuticals Ltd),48498020
34288,Fluoxetine 20mg capsules (Mylan Ltd),61409020
34294,Fluoxetine 20mg capsules (IVAX Pharmaceuticals UK Ltd),61167020
34351,Paroxetine 20mg tablets (IVAX Pharmaceuticals UK Ltd),63703020
34355,Imipramine 25mg tablets (Actavis UK Ltd),49842020
34356,Citalopram 20mg tablets (A A H Pharmaceuticals Ltd),65381020
34401,Amitriptyline 10mg tablets (Wockhardt UK Ltd),48484020
34413,Citalopram 10mg tablets (Zentiva),66149020
34415,Citalopram 20mg tablets (Mylan Ltd),66454020
34419,Paroxetine 20mg tablets (A A H Pharmaceuticals Ltd),66464020
34421,Trazodone 50mg capsules (Zentiva),62274020
34436,Citalopram 10mg tablets (Mylan Ltd),66451020
34456,Fluoxetine 20mg capsules (Teva UK Ltd),61319020
34466,Citalopram 40mg tablets (Sandoz Ltd),65131020
34470,Trazodone 150mg tablets (Zentiva),62276020
34474,Amitriptyline 25mg Tablet (Regent Laboratories Ltd),48528020
34498,Citalopram 10mg Tablet (Neo Laboratories Ltd),65254020
34499,Citalopram 10mg tablets (Sandoz Ltd),65125020
34503,Amitriptyline 25mg tablets (IVAX Pharmaceuticals UK Ltd),48523020
34525,Dosulepin 75mg tablets (Mylan Ltd),60465020
34578,Lofepramine 70mg tablets (IVAX Pharmaceuticals UK Ltd),56517020
34580,Trazodone 100mg capsules (A A H Pharmaceuticals Ltd),61097020
34586,Citalopram 10mg tablets (A A H Pharmaceuticals Ltd),65376020
34587,Paroxetine 30mg tablets (A A H Pharmaceuticals Ltd),67650020
34603,Citalopram 40mg tablets (Mylan Ltd),66459020
34634,Amitriptyline 50mg tablets (Actavis UK Ltd),48509020
34641,Dosulepin 25mg capsules (Sovereign Medical Ltd),62179020
34643,Dosulepin 25mg capsules (Almus Pharmaceuticals Ltd),68380020
34672,Lofepramine 70mg tablets (Sterwin Medicines),60055020
34722,Citalopram 20mg Tablet (Neo Laboratories Ltd),65257020
34731,Amitriptyline 10mg tablets (Kent Pharmaceuticals Ltd),48516020
34745,Dosulepin 25mg capsules (Actavis UK Ltd),56942020
34782,Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd),48497020
34813,Imipramine 25mg tablets (A A H Pharmaceuticals Ltd),49846020
34822,Citalopram 20mg tablets (Zentiva),66152020
34849,Fluoxetine 20mg capsules (Tillomed Laboratories Ltd),66273020
34856,Fluoxetine 60mg capsules (Mylan Ltd),65464020
34866,Clomipramine 10mg capsules (A A H Pharmaceuticals Ltd),50946020
34871,Citalopram 20mg tablets (Actavis UK Ltd),67893020
34872,Imipramine 25mg Tablet (C P Pharmaceuticals Ltd),49838020
3490,Amitriptyline 10mg / Perphenazine 2mg tablets,68728020
34916,Amitriptyline 10mg Tablet (Berk Pharmaceuticals Ltd),48490020
34950,Lofepramine 70mg tablets (Actavis UK Ltd),57022020
34966,Citalopram 20mg tablets (Teva UK Ltd),68045020
34970,Citalopram 20mg tablets (Niche Generics Ltd),66685020
35021,Paroxetine 10mg tablets,92043020
35112,Seroxat 10mg tablets (GlaxoSmithKline UK Ltd),93187020
35258,Sinepin 25mg capsules (Marlborough Pharmaceuticals Ltd),92457020
35493,Sinepin 50mg capsules (Marlborough Pharmaceuticals Ltd),92459020
3554,Doxepin 25mg capsules,62851020
3601,Seroxat 20mg/10ml liquid (GlaxoSmithKline UK Ltd),72939020
3657,Anafranil 25mg capsules (Novartis Pharmaceuticals UK Ltd),55387020
3668,IMIPRAMINE 100 MG TAB,03312007
3670,Clomipramine 25mg capsules,61464020
36746,Citalopram 40mg tablets (A A H Pharmaceuticals Ltd),65386020
36893,Fluoxetine 20mg/5ml oral solution sugar free,93984020
37256,Prozep 20mg/5ml oral solution (Chemidex Pharma Ltd),93918020
3777,Amitriptyline 10mg/5ml sugar free oral solution,75331020
3783,Tranylcypromine 10mg tablets,67145020
38274,Clomipramine 50mg/5ml oral suspension,95021020
3842,Doxepin 10mg capsules,62850020
3861,Cipramil 10mg tablets (Lundbeck Ltd),79421020
38827,Triptafen-M tablets (Mercury Pharma Group Ltd),95533020
38890,Fluoxetine 20mg Capsule (Milpharm Ltd),74425020
3903,Nortriptyline 25mg tablets,65154020
39145,Nortriptyline 10mg/5ml Liquid,65159020
3925,Clomipramine 50mg capsules,61465020
39359,Venlafaxine 75mg modified-release tablets,96445020
39360,Venlafaxine 150mg modified-release tablets,96447020
3951,Fluanxol 1mg tablets (Lundbeck Ltd),49503020
3953,Fluanxol 500microgram tablets (Lundbeck Ltd),49502020
3954,OPTIMAX TAB,04647007
3955,Tranylcypromine with trifluoperazine Tablet,67148020
39770,Tifaxin XL 75mg capsules (Genus Pharmaceuticals Ltd),96465020
39809,Tifaxin XL 150mg capsules (Genus Pharmaceuticals Ltd),96467020
4003,Molipaxin 150mg tablets (Zentiva),54110020
40048,ViePax XL 75mg tablets (Dexcel-Pharma Ltd),96449020
40049,ViePax XL 150mg tablets (Dexcel-Pharma Ltd),96451020
40054,Venlafaxine 225mg modified-release tablets,96838020
40059,Venlalic XL 75mg tablets (Ethypharm UK Ltd),96834020
40062,Venlalic XL 150mg tablets (Ethypharm UK Ltd),96836020
40092,Vensir XL 150mg capsules (Morningside Healthcare Ltd),96357020
40160,Mirtazapine 30mg tablets (Actavis UK Ltd),68213020
40165,Paroxetine 30mg tablets (Actavis UK Ltd),67575020
4020,Trazodone 150mg tablets,67153020
40277,Vensir XL 75mg capsules (Morningside Healthcare Ltd),96355020
40295,Valdoxan 25mg tablets (Servier Laboratories Ltd),97030020
40396,Amitriptyline 50mg Tablet (Berk Pharmaceuticals Ltd),48491020
40407,Venlalic XL 225mg tablets (Ethypharm UK Ltd),96841020
40494,Agomelatine 25mg tablets,97028020
40514,Venaxx XL 150mg capsules (AMCo),97005020
40515,Venaxx XL 75mg capsules (AMCo),97003020
40517,Vexarin XL 150mg capsules (Mylan Ltd),96536020
40726,Escitalopram 20mg/ml oral drops sugar free,97169020
4075,Fluoxetine 60mg capsules,69656020
40764,ViePax 37.5mg tablets (Dexcel-Pharma Ltd),96439020
40777,Doxepin 25mg/5ml oral suspension,96353020
40815,Tardcaps XL 75mg capsules (IXL Pharma Ltd),96329020
40817,Tardcaps XL 150mg capsules (IXL Pharma Ltd),96331020
40892,Paroxetine 20mg tablets (Genus Pharmaceuticals Ltd),69754020
40917,ViePax 75mg tablets (Dexcel-Pharma Ltd),96441020
41033,Rodomel XL 75mg capsules (Teva UK Ltd),96239020
41062,Cipralex 20mg/ml oral drops (Lundbeck Ltd),97171020
4118,Nortriptyline 10mg Capsule,65157020
41299,Politid XL 75mg capsules (Actavis UK Ltd),96473020
41314,Rodomel XL 150mg capsules (Teva UK Ltd),96241020
41408,Imipramine 25mg tablets (Teva UK Ltd),55369020
41528,Citalopram 10mg tablets (Teva UK Ltd),68042020
41563,Clomipramine 25mg capsules (IVAX Pharmaceuticals UK Ltd),57825020
41597,Clomipramine 50mg capsules (IVAX Pharmaceuticals UK Ltd),57826020
41609,Trazodone 50mg capsules (Teva UK Ltd),62361020
41627,Lofepramine 70mg Tablet (Teva UK Ltd),59282020
41628,Clomipramine 10mg capsules (IVAX Pharmaceuticals UK Ltd),57824020
41654,Tranylcypromine 10mg tablets (AMCo),65266020
41681,Imipramine 10mg tablets (A A H Pharmaceuticals Ltd),49845020
41709,Trazodone 100mg capsules (Teva UK Ltd),62362020
41710,Trazodone 100mg capsules (Zentiva),62275020
41729,Amitriptyline 25mg Tablet (Celltech Pharma Europe Ltd),48502020
41731,Isocarboxazid 10mg Tablet (Cambridge Laboratories Ltd),59180020
41747,Moclobemide 150mg tablets (Teva UK Ltd),63795020
418,Prozac 20mg capsules (Eli Lilly and Company Ltd),69506020
4194,Molipaxin 100mg capsules (Zentiva),54109020
42078,Amitriptyline 25mg tablets (Almus Pharmaceuticals Ltd),70948020
42107,Fluoxetine 20mg capsules (Niche Generics Ltd),61420020
4218,Lofepramine 70mg/5ml oral suspension sugar free,64035020
42228,Trimipramine 10mg tablets (A A H Pharmaceuticals Ltd),71733020
42247,Imipramine 25mg/5ml oral solution sugar free,97872020
42387,Sertraline 50mg tablets (Actavis UK Ltd),72034020
42394,Amitriptyline 25mg Tablet (Crosspharma Ltd),48513020
42499,Fluoxetine 10mg tablets,98001020
42600,Vexarin XL 75mg capsules (Mylan Ltd),96534020
42660,Citalopram 10mg tablets (Almus Pharmaceuticals Ltd),71373020
42734,Dosulepin 75mg tablets (Almus Pharmaceuticals Ltd),68383020
42803,Fluoxetine 20mg/5ml oral solution (IVAX Pharmaceuticals UK Ltd),66129020
43024,Dosulepin 100mg/5ml oral solution,97461020
4310,Trimipramine 10mg tablets,67280020
43203,Venlafaxine 75mg modified-release capsules (Sandoz Ltd),96614020
4321,Phenelzine 15mg tablets,65635020
43234,Mirtazapine 45mg orodispersible tablets (Teva UK Ltd),74033020
43235,Mirtazapine 45mg orodispersible tablets (A A H Pharmaceuticals Ltd),74708020
43236,Mirtazapine 45mg orodispersible tablets (Actavis UK Ltd),74668020
43237,Mirtazapine 15mg orodispersible tablets (Teva UK Ltd),74026020
43239,Mirtazapine 15mg tablets (A A H Pharmaceuticals Ltd),69827020
43241,Mirtazapine 15mg orodispersible tablets (Aurobindo Pharma Ltd),76512020
43242,Mirtazapine 15mg tablets (Genus Pharmaceuticals Ltd),71074020
43246,Mirtazapine 15mg orodispersible tablets (Genus Pharmaceuticals Ltd),74967020
43247,Mirtazapine 45mg orodispersible tablets (Genus Pharmaceuticals Ltd),74977020
43248,Mirtazapine 15mg orodispersible tablets (Focus Pharmaceuticals Ltd),74684020
43250,Mirtazapine 30mg orodispersible tablets (A A H Pharmaceuticals Ltd),74705020
43253,Mirtazapine 15mg orodispersible tablets (A A H Pharmaceuticals Ltd),74702020
43256,Mirtazapine 45mg orodispersible tablets (Focus Pharmaceuticals Ltd),74689020
43257,Mirtazapine 15mg tablets (Teva UK Ltd),75309020
4329,Mianserin 20mg tablets,64730020
43334,Venlafaxine 150mg modified-release capsules (Sandoz Ltd),96616020
43518,Fluvoxamine 100mg tablets (IVAX Pharmaceuticals UK Ltd),60735020
43519,Citalopram 40mg Tablet (Neo Laboratories Ltd),65262020
4352,Lustral 100mg tablets (Pfizer Ltd),74047020
43534,Lofepramine 70mg/5ml Oral suspension (Rosemont Pharmaceuticals Ltd),55646020
43561,Clomipramine 10mg capsules (Teva UK Ltd),54669020
43673,Politid XL 150mg capsules (Actavis UK Ltd),96475020
43968,Foraven XL 75mg capsules (Forum Products Ltd),97351020
4422,Tryptophan 500mg tablets,67310020
44853,Dosulepin 25mg capsules (Kent Pharmaceuticals Ltd),63443020
44861,Fluvoxamine 100mg tablets (Actavis UK Ltd),62693020
44936,Venlaneo XL 150mg capsules (Kent Pharmaceuticals Ltd),99210020
44937,Venlaneo XL 75mg capsules (Kent Pharmaceuticals Ltd),99208020
44944,Sertraline 100mg tablets (Teva UK Ltd),72095020
45223,Citalopram 40mg tablets (Niche Generics Ltd),66688020
45224,Fluoxetine 20mg capsules (Sandoz Ltd),61387020
45226,Trimipramine 25mg tablets (A A H Pharmaceuticals Ltd),71736020
45233,Amitriptyline 10mg tablets (IVAX Pharmaceuticals UK Ltd),48522020
45242,Amitriptyline 10mg Tablet (Sussex Pharmaceutical Ltd),48533020
45247,Fluoxetine 20mg capsules (Fannin UK Ltd),62975020
45286,Citalopram 10mg tablets (Niche Generics Ltd),66680020
45304,Citalopram 40mg tablets (Teva UK Ltd),68049020
45316,Fluoxetine 20mg capsules (Wockhardt UK Ltd),61439020
45318,Clomipramine 50mg capsules (A A H Pharmaceuticals Ltd),50948020
45329,Fluoxetine 20mg capsules (Actavis UK Ltd),61452020
45350,Clomipramine 25mg capsules (Teva UK Ltd),54670020
45664,Depefex XL 150mg capsules (Chiesi Ltd),98863020
45737,Dosulepin 25mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd),55642020
45806,Venlafaxine 37.5mg modified-release tablets,99679020
45818,Venlalic XL 37.5mg tablets (Ethypharm UK Ltd),99681020
45915,Sertraline 50mg tablets (Almus Pharmaceuticals Ltd),75620020
45959,Depefex XL 75mg capsules (Chiesi Ltd),98861020
46668,Mirtazapine 15mg tablets (Arrow Generics Ltd),70353020
46801,Amitriptyline 10mg/5ml oral solution,00503021
46818,Amitriptyline 10mg/5ml oral suspension,00505021
4682,Amitriptyline 50mg modified-release capsules,60223020
4690,Amitriptyline 50mg/5ml oral solution sugar free,75329020
46926,Citalopram 40mg tablets (Zentiva),66160020
46970,Amitriptyline 50mg tablets (IVAX Pharmaceuticals UK Ltd),48524020
46977,Citalopram 40mg tablets (Actavis UK Ltd),67898020
470,Venlafaxine 75mg modified-release capsules,85108020
4726,Zispin 30mg tablets (Organon Laboratories Ltd),85251020
47363,Mianserin 20mg Tablet (Berk Pharmaceuticals Ltd),50103020
476,Citalopram 10mg tablets,79463020
4770,Citalopram 40mg tablets,79464020
47945,Mirtazapine 30mg tablets (A A H Pharmaceuticals Ltd),68484020
47966,Mirtazapine 15mg/ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),68128020
48026,Citalopram 20mg tablets (Almus Pharmaceuticals Ltd),71376020
48045,Fluvoxamine 100mg tablets (A A H Pharmaceuticals Ltd),66244020
48065,Amitriptyline oral solution,92481020
48185,Mirtazapine 30mg orodispersible tablets (Almus Pharmaceuticals Ltd),78577020
48199,Ranfaxine XL 75mg capsules (Ranbaxy (UK) Ltd),97656020
48216,Nortriptyline 25mg tablets (A A H Pharmaceuticals Ltd),77778020
48220,Prozac 20mg capsules (Lexon (UK) Ltd),03837020
48698,Mirtazapine 15mg orodispersible tablets sugar free,41252020
487,Amitriptyline 25mg modified-release capsules,60222020
4874,Molipaxin 50mg capsules (Zentiva),54108020
488,Sertraline 50mg tablets,74050020
49,Amitriptyline 25mg tablets,58950020
4907,Prozac 60mg capsules (Eli Lilly and Company Ltd),69508020
49165,Citalopram 10mg tablets (Alliance Healthcare (Distribution) Ltd),04004020
49511,Venlablue XL 75mg capsules (Bluefish Pharmaceuticals AB),03965020
49519,Sertraline 100mg/5ml oral suspension,20738020
49820,Mirtazapine 45mg orodispersible tablets sugar free,41254020
50,Paroxetine 20mg tablets,72932020
50081,Venlablue XL 150mg capsules (Bluefish Pharmaceuticals AB),03976020
50592,Fluanxol 1mg tablets (Sigma Pharmaceuticals Plc),03818020
50722,Dosulepin 25mg/5ml oral solution,19725020
5073,Doxepin 50mg capsules,62852020
50892,Zispin SolTab 15mg orodispersible tablets (Necessity Supplies Ltd),09892020
50934,Venlafaxine 150mg/5ml oral solution,35355020
51280,Efexor XL 150mg capsules (Waymade Healthcare Plc),03970020
513,Citalopram 40mg/ml oral drops sugar free,77306020
51361,Venlafaxine 37.5mg tablets (Ranbaxy (UK) Ltd),03942020
51383,Duloxetine 60mg gastro-resistant capsules (Sigma Pharmaceuticals Plc),10967020
51699,Venlafaxine 37.5mg/5ml oral solution,35357020
51758,Prothiaden 25mg capsules (Stephar (U.K.) Ltd),03717020
5187,Moclobemide 300mg tablets,72032020
52074,Alventa XL 75mg capsules (Consilient Health Ltd),03966020
52100,Citalopram 10mg tablets (Arrow Generics Ltd),04007020
52354,Citalopram 20mg tablets (DE Pharmaceuticals),38526020
52408,Citalopram 10mg tablets (Kent Pharmaceuticals Ltd),04003020
52516,Alventa XL 150mg capsules (Consilient Health Ltd),03977020
52607,Citalopram 20mg tablets (Bristol Laboratories Ltd),03997020
527,Paroxetine 10mg/5ml oral suspension sugar free,72934020
52716,Tonpular XL 75mg capsules (Wockhardt UK Ltd),98348020
52824,Citalopram 10mg tablets (PLIVA Pharma Ltd),71214020
52867,Amitriptyline 10mg tablets (Accord Healthcare Ltd),03674020
53161,Clomipramine 50mg/5ml oral solution,19451020
53187,Clomipramine 50mg capsules (Kent Pharmaceuticals Ltd),03701020
53321,Mirtazapine 15mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd),21206020
53326,Venlafaxine 75mg/5ml oral solution,35359020
53394,Citalopram 20mg tablets (Alliance Healthcare (Distribution) Ltd),03985020
53543,Zispin SolTab 30mg orodispersible tablets (Necessity Supplies Ltd),09905020
53648,Mirtazapine 30mg orodispersible tablets (Actavis UK Ltd),74665020
53699,Mirtazapine 15mg tablets (Actavis UK Ltd),76425020
53787,Citalopram 10mg tablets (Bristol Laboratories Ltd),04011020
53808,Trimipramine 10mg tablets (Phoenix Healthcare Distribution Ltd),03784020
54012,Mirtazapine 15mg orodispersible tablets sugar free (Sandoz Ltd),41253020
54081,Sertraline 25mg/5ml oral suspension,33816020
54342,Mirtazapine 15mg tablets (Medreich Plc),38595020
54644,Mirtazapine 15mg tablets (Pfizer Ltd),09876020
54686,Tryptophan 500mg capsules,47014020
54747,Optimax 500mg capsules (Intrapharm Laboratories Ltd),47015020
54792,Mirtazapine 30mg tablets (Alliance Healthcare (Distribution) Ltd),04053020
54826,Sertraline 150mg/5ml oral suspension,33812020
54827,Citalopram 10mg/5ml oral suspension,30393020
54877,Amitriptyline 25mg tablets (Accord Healthcare Ltd),03679020
54933,Sertraline 100mg tablets (PLIVA Pharma Ltd),72071020
55023,Paroxetine 20mg tablets (Medreich Plc),45165020
55033,Citalopram 40mg tablets (DE Pharmaceuticals),38528020
55137,Trazodone 150mg/5ml oral suspension,34736020
55138,Trazodone 250mg/5ml oral solution,34738020
55139,Amitriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd),03675020
55146,Sertraline 100mg tablets (A A H Pharmaceuticals Ltd),71728020
55424,Venlafaxine,95179020
55482,Mirtazapine 15mg orodispersible tablets (Mylan Ltd),77222020
55488,Sertraline 50mg tablets (Teva UK Ltd),72091020
55491,Amitriptyline 10mg tablets (Almus Pharmaceuticals Ltd),70945020
55501,Venlafaxine 150mg Modified-release capsule (Hillcross Pharmaceuticals Ltd),76126020
55537,Seroxat 30mg tablets (Lexon (UK) Ltd),03921020
55970,Nortriptyline 10mg tablets (King Pharmaceuticals Ltd),03751020
56009,Citalopram 20mg tablets (Arrow Generics Ltd),03990020
5611,Optimax 500mg tablets (Intrapharm Laboratories Ltd),50868020
56209,Mirtazapine 30mg tablets (Phoenix Healthcare Distribution Ltd),04060020
56229,Lofepramine 70mg/5ml oral solution,32936020
56292,Citalopram 40mg/ml oral drops sugar free (Actavis UK Ltd),04037020
