prodcode,productname,bnfcode
19908,Triamcinolone 2mg Tablet,06030200
20095,Precortisyl forte 25mg Tablet (Aventis Pharma),06030200
20577,Calcort 6mg Tablet (Shire Pharmaceuticals Ltd),06030200/08020200
21218,Dexsol 2mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),03010000/04065300/06030200
21417,Prednisolone 5mg tablets (A A H Pharmaceuticals Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
21540,Solu-Medrone 500mg powder and solvent for solution for injection vials (Pfizer Ltd),06030200/10010202
21668,Decadron shock pak 20 20mg/ml Shock pack (Merck Sharp & Dohme Ltd),06030200
21833,Decortisyl 5mg Tablet (Roussel Laboratories Ltd),01050200/06030200
21903,Oradexon-organon 2mg Tablet (Organon Laboratories Ltd),06030200
22555,Calcort 1mg tablets (Shire Pharmaceuticals Ltd),06030200
22577,Betnesol 4mg/1ml solution for injection ampoules (Focus Pharmaceuticals Ltd),06030200/10010202
23111,Triamcinolone 4mg Tablet,06030200
23210,Cortistab 5mg Tablet (Waymade Healthcare Plc),06030100/06030200
23511,Solu-Medrone 40mg powder and solvent for solution for injection vials (Pfizer Ltd),06030200/10010202
23512,Precortisyl 5mg Tablet (Hoechst Marion Roussel),06030200
24014,Ledercort 2mg Tablet (Wyeth Pharmaceuticals),06030200
24224,Codelsol 16mg/ml Injection (MSD Thomas Morson Pharmaceuticals),06030200/10010202
25226,Solu-Medrone 125mg powder and solvent for solution for injection vials (Pfizer Ltd),06030200/10010202
25272,Precortisyl 1mg Tablet (Hoechst Marion Roussel),06030200
25839,Solu-Medrone 1g powder and solvent for solution for injection vials (Pfizer Ltd),06030200/10010202
26299,Oradexon-organon 4mg/ml Intraarticular injection (Organon Laboratories Ltd),06030200/10010202
26300,Dexamethasone 20mg/ml shock pack,06030200
26454,Decadron 4mg/ml Injection (MSD Thomas Morson Pharmaceuticals),06030200/10010202
27413,Depo-Medrone 80mg/2ml suspension for injection vials (Pfizer Ltd),06030200/10010202
27962,Deltastab 1mg Tablet (Waymade Healthcare Plc),06030200
28215,Dexamethasone 100mg/5ml solution for injection vials,06030200
28375,Prednisolone 2.5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
28376,Prednisolone 2.5mg Gastro-resistant tablet (Biorex Laboratories Ltd),06030200
28859,Deltastab 5mg Tablet (Waymade Healthcare Plc),06030200
29333,Prednisolone 5mg tablets (Actavis UK Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
30244,Triamcinolone acetonide 40mg/ml injection,06030200/10010202
31327,Prednisolone steaglate 6.65mg tablet,01050200/06030200
31532,Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
31948,Dexamethasone 4mg/ml Injection (Mayne Pharma Plc 1),06030200/10010202
32803,Prednisolone 5mg gastro-resistant tablets (Actavis UK Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
32835,Prednisolone 5mg tablets (Wockhardt UK Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
33132,Methylprednisolone acetate 40mg/1ml suspension for injection vials,06030200/10010202
33691,Prednisolone 5mg Gastro-resistant tablet (Biorex Laboratories Ltd),06030200
33988,Prednisolone 5mg Tablet (Co-Pharma Ltd),06030200
33990,Prednisolone 5mg Tablet (IVAX Pharmaceuticals UK Ltd),06030200
34083,Dexamethasone 5mg/ml Injection (Organon Laboratories Ltd),06030200/10010202
34109,Prednisolone 5 mg gastro-resistant tablet,06030200
34166,Efcortelan soluble 50mg/ml Injection (Glaxo Laboratories Ltd),06030100/06030200
34393,Prednisolone 5mg gastro-resistant tablets (Teva UK Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
34404,Prednisolone 1mg tablets (Actavis UK Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
34452,Prednisolone 1mg tablets (A A H Pharmaceuticals Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
34461,Prednisolone 2.5mg gastro-resistant tablets (Actavis UK Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
34631,Prednisolone 1mg Tablet (Co-Pharma Ltd),06030200
34660,Prednisolone 1mg tablets (Kent Pharmaceuticals Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
34748,Prednisolone 1mg tablets (Teva UK Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
34781,Prednisolone 5mg tablets (Kent Pharmaceuticals Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
34801,Dexamethasone 0.5mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd),06030200
34880,Dexamethasone 2mg tablets (Aspen Pharma Trading Ltd),06030200/64090000
34914,Prednisolone 1mg Tablet (Celltech Pharma Europe Ltd),06030200
34915,Dexamethasone 500microgram tablets (Organon Laboratories Ltd),06030200/64090000
34978,Prednisolone 1mg tablets (Wockhardt UK Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
35040,Depo-Medrone 120mg/3ml suspension for injection vials (Pfizer Ltd),06030200/10010202
35172,Efcortesol 100mg/1ml solution for injection ampoules (AMCo),06030200
35175,Hydrocortisone sodium phosphate 100mg/1ml solution for injection ampoules,06030200
35349,Methylprednisolone acetate 80mg/2ml suspension for injection vials,06030200/10010202
35453,Dexamethasone 3.3mg/1ml solution for injection ampoules,06030200/10010202
35688,Methylprednisolone acetate 120mg/3ml suspension for injection vials,06030200/10010202
36055,Dexamethasone 2mg Tablet (Hillcross Pharmaceuticals Ltd),06030200
37500,Dexamethasone 6.6mg/2ml solution for injection vials,06030200/10010202
37638,Efcortesol 500mg/5ml solution for injection ampoules (AMCo),06030200
37737,Kenalog 40mg/ml Injection (E R Squibb and Sons Ltd),06030200/10010202
38022,Hydrocortisone 10mg/5ml oral suspension,06030200
38054,Hydrocortisone Tablet,06030100/06030200
38407,Prednisolone 20mg tablet,06030200
41335,Calcort 6mg tablets (Sanofi),06030200
41515,Prednisolone 5mg tablets (Teva UK Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
41745,Prednisolone 25mg tablets (Zentiva),01050200/03020000/06030200/08020200/10010201
43355,Hydrocortisone sodium phosphate 500mg/5ml solution for injection ampoules,06030200
43544,Prednisone 5mg Tablet (Knoll Ltd),01050200/06030200
44380,Prednisone 1mg modified-release tablets,06030200
44723,Prednisone 5mg modified-release tablets,06030200
44802,Lodotra 5mg modified-release tablets (Napp Pharmaceuticals Ltd),06030200
44803,Lodotra 2mg modified-release tablets (Napp Pharmaceuticals Ltd),06030200
45234,Dexamethasone 100microgram capsules,03010000/04065300/06030200
45302,Prednisolone 5mg Tablet (Biorex Laboratories Ltd),06030200
46711,Prednisone 2mg modified-release tablets,06030200
47142,Prednisolone 5mg Soluble tablet (Amdipharm Plc),06030200
47598,Dexamethasone 8mg/2ml solution for injection vials (Organon Laboratories Ltd),06030200
48406,Triamcinolone acetonide 40mg/1ml suspension for injection vials,06030200/10010202
48746,Depo-Medrone 40mg/1ml suspension for injection vials (Mawdsley-Brooks & Company Ltd),06030200/10010202
48748,Depo-Medrone 40mg/1ml suspension for injection vials (Lexon (UK) Ltd),06030200/10010202
48800,Depo-Medrone 40mg/1ml suspension for injection vials (DE Pharmaceuticals),06030200/10010202
49498,Hydrocortisone sodium succinate 100mg powder for solution for injection vials,06030200
49707,Hydrocortisone sodium succinate 100mg powder and solvent for solution for injection vials,06030200
50225,Betnesol 500microgram soluble tablets (Waymade Healthcare Plc),06030200
51167,Solu-Cortef 100mg powder and solvent for solution for injection vials (Pfizer Ltd),06030200
51722,Hydrocortisone 5mg/5ml oral suspension,06030200
51753,Prednisolone 1mg tablets (Co-Pharma Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
51824,Hydrocortisone 5mg/5ml oral suspension sugar free,06030200
51849,Hydrocortisone 1mg/5ml oral suspension,06030200
51871,Hydrocortisone 2mg capsules,06030200
51872,Hydrocortisone 2.5mg capsules,06030200
52053,Hydrocortisone 3mg/5ml oral suspension,06030200
52396,Dexamethasone 1mg/5ml oral solution,03010000/04065300/06030200
53143,Cortisone 25mg tablets (A A H Pharmaceuticals Ltd),06030200
53173,Dexamethasone 4mg/1ml solution for injection ampoules (Aspen Pharma Trading Ltd),06030200/10010202
53207,Dexamethasone tablets,06030200
53313,Prednisolone 20mg/5ml oral suspension,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100
53336,Prednisolone 25mg tablets (A A H Pharmaceuticals Ltd),01050200/03020000/06030200/08020200/10010201
53705,Cortisone acetate 5mg Capsule (Martindale Pharmaceuticals Ltd),06030100/06030200
53953,Hydrocortisone 5mg modified-release tablets,06030200
54118,Prednisolone 25mg/5ml oral suspension,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100
54432,Lodotra 1mg modified-release tablets (Napp Pharmaceuticals Ltd),06030200
54434,Prednisolone 2.5mg/5ml oral suspension,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100
54715,Solu-Cortef 100mg powder for solution for injection vials (Pfizer Ltd),06030200
54793,Dexamethasone 2mg/5ml oral suspension,03010000/04065300/06030200
54794,Hydrocortisone 20mg modified-release tablets,06030200
55024,Prednisolone 5mg/5ml oral solution,03020000/06030200/10010201
55401,Dexamethasone 500microgram tablets (A A H Pharmaceuticals Ltd),06030200/64090000
55480,Prednisolone 2.5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
56347,Dexamethasone 5mg/5ml oral solution,03010000/04065300/06030200
56443,Dexamethasone 10mg/5ml oral solution,03010000/04065300/06030200
56891,Prednisolone 1mg tablets (Waymade Healthcare Plc),01050200/03020000/05011000/05040800/06030200/08020200/10010201
56940,Dexamethasone 6.6mg/2ml solution for injection ampoules,06030200/10010202
57931,Hydrocortisone 20mg tablets (Teva UK Ltd),06030200
58000,Prednisolone 5mg tablets (Almus Pharmaceuticals Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
58061,Prednisone 50mg tablets,06030200
58234,Prednisolone 10mg/5ml oral solution,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100
58369,Prednisolone 5mg tablets (Boston Healthcare Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
58384,Prednisolone 1mg tablets (Almus Pharmaceuticals Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
58474,Dexamethasone 2mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd),03010000/04065300/06030200
58592,Plenadren 20mg modified-release tablets (ViroPharma Ltd),06030200
58987,Prednisolone 5mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
59229,Dilacort 5mg gastro-resistant tablets (Auden McKenzie (Pharma Division) Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
59283,Dilacort 2.5mg gastro-resistant tablets (Auden McKenzie (Pharma Division) Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
59338,Prednisolone 1mg/5ml oral solution,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100
59418,Plenadren 5mg modified-release tablets (ViroPharma Ltd),06030200
59912,Prednisolone 5mg gastro-resistant tablets (Waymade Healthcare Plc),01050200/03020000/05011000/05040800/06030200/08020200/10010201
60064,Dexamethasone 10mg/5ml oral solution sugar free,03010000/04065300/06030200
60120,Dexamethasone 2mg tablets (Alliance Healthcare (Distribution) Ltd),06030200/64090000
60421,Prednisolone 5mg tablets (Co-Pharma Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
61132,Prednisolone 1mg tablets (Boston Healthcare Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
61162,Prednisolone 5mg tablets (Waymade Healthcare Plc),01050200/03020000/05011000/05040800/06030200/08020200/10010201
61316,Dexamethasone 4mg/1ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd),06030200/10010202
61689,Prednisolone 5mg soluble tablets (A A H Pharmaceuticals Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
61958,Dexamethasone 3.8mg/1ml solution for injection vials,06030200/10010202
62656,Prednisone 5mg Tablet (Hillcross Pharmaceuticals Ltd),01050200/06030200
62909,Dexamethasone 2mg tablets (A A H Pharmaceuticals Ltd),06030200/64090000
63066,Prednisolone 2.5mg tablets,01050200/03020000/05011000/05040800/06030200/08020200/10010201
63082,Prednisolone 20mg tablets,01050200/03020000/05011000/05040800/06030200/08020200/10010201
63138,Hydrocortisone 5mg/5ml oral solution,06030200
63172,Prednisolone 10mg tablets,01050200/03020000/05011000/05040800/06030200/08020200/10010201
63214,Prednisolone 5mg soluble tablets (Alliance Healthcare (Distribution) Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
63549,Prednisolone 1mg/ml oral solution (Logixx Pharma Solutions Ltd),03020000/06030200/10010201
63791,Prednisolone 5mg/5ml oral solution unit dose,03020000/06030200/10010201
64007,Pevanti 10mg tablets (AMCo),01050200/03020000/05011000/05040800/06030200/08020200/10010201
64008,Pevanti 2.5mg tablets (AMCo),01050200/03020000/05011000/05040800/06030200/08020200/10010201
64009,Pevanti 20mg tablets (AMCo),01050200/03020000/05011000/05040800/06030200/08020200/10010201
64050,Martapan 2mg/5ml oral solution (Martindale Pharmaceuticals Ltd),03010000/04065300/06030200
64059,Hydrocortisone 2.5mg/5ml oral suspension,06030200
64128,Pevanti 5mg tablets (AMCo),01050200/03020000/05011000/05040800/06030200/08020200/10010201
64221,Prednisolone 5mg/5ml oral suspension,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100
64235,Betamethasone 500microgram soluble tablets sugar free (Alliance Healthcare (Distribution) Ltd),06030200
64416,Prednisolone 10mg/ml oral solution sugar free,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100
64747,Dexamethasone 2mg/5ml oral solution,03010000/04065300/06030200
64766,Dexamethasone 20mg/5ml oral solution sugar free,03010000/04065300/06030200
64787,Hydrocortisone 10mg tablets (Almus Pharmaceuticals Ltd),06030200
65020,Prednisolone 25mg/5ml oral solution,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100
