prodcode,productname,bnfcode
28410,Prowess Plain 5mg tablets (Harley Street Supplies Ltd),07040500
28518,Papaverine 30mg/1ml hydrochloride,07040500
31362,Papaverine sulphate 40mg/ml injection,07040500
33583,Papaverine 30mg/2ml solution for injection ampoules,07040500
38201,Papaverine 30mg/1ml hydrochloride,07040500
39096,Tadalafil 5mg tablets,07040501
39138,Papaverine 60mg/2ml solution for injection ampoules,07040500
39243,Cialis 2.5mg tablets (Eli Lilly and Company Ltd),07040501
39285,Cialis 5mg tablets (Eli Lilly and Company Ltd),07040501
39289,Tadalafil 2.5mg tablets,07040501
39837,Papaverine 80mg/2ml hydrochloride,07040500
45776,Vardenafil 10mg orodispersible tablets sugar free,07040500
45844,Levitra 10mg orodispersible tablets (Bayer Plc),07040500
48761,Viridal Duo Continuation Pack 20microgram powder and solvent for solution for injection cartridges (UCB Pharma Ltd),07040500
48762,Viridal Duo Continuation Pack 10microgram powder and solvent for solution for injection cartridges (UCB Pharma Ltd),07040500
48764,Cialis 20mg tablets (Necessity Supplies Ltd),07040501
48939,Alprostadil 10microgram powder and solvent for solution for injection pre-filled disposable devices,07040500
49322,Viridal Duo Continuation Pack 40microgram powder and solvent for solution for injection cartridges (UCB Pharma Ltd),07040500
49347,Cialis 20mg tablets (Mawdsley-Brooks & Company Ltd),07040501
49766,Alprostadil 20microgram powder and solvent for solution for injection pre-filled disposable devices,07040500
50177,Viridal Duo Starter Pack 10microgram powder and solvent for solution for injection cartridges with device (UCB Pharma Ltd),07040500
50233,Cialis 10mg tablets (Sigma Pharmaceuticals Plc),07040501
50511,Alprostadil 20microgram powder and solvent for solution for injection vials,07040500
50728,Alprostadil 10microgram powder and solvent for solution for injection vials,07040500
50735,Alprostadil 40microgram powder and solvent for solution for injection cartridges,07040500
50912,Lidocaine 9.6% spray,07040500
51015,Viridal Duo Starter Pack 40microgram powder and solvent for solution for injection cartridges with device (UCB Pharma Ltd),07040500
51068,Alprostadil 40microgram powder and solvent for solution for injection vials,07040500
51086,Alprostadil 10microgram powder and solvent for solution for injection cartridges,07040500
51169,Alprostadil 20microgram powder and solvent for solution for injection cartridges,07040500
52195,Alprostadil 40microgram powder and solvent for solution for injection cartridges with device,07040500
52369,Levitra 10mg tablets (Sigma Pharmaceuticals Plc),07040500
57369,Sildenafil 100mg chewable tablets sugar free,07040500
57411,Sildenafil 50mg chewable tablets sugar free,07040500
57432,Alprostadil 20microgram powder and solvent for solution for injection cartridges with device,07040500
57453,Viridal Duo Starter Pack 20microgram powder and solvent for solution for injection cartridges with device (UCB Pharma Ltd),07040500
57491,Sildenafil 25mg chewable tablets sugar free,07040500
58615,Alprostadil 10microgram powder and solvent for solution for injection cartridges with device,07040500
60333,Nipatra 50mg chewable tablets (AMCo),07040500
60334,Nipatra 100mg chewable tablets (AMCo),07040500
60755,Alprostadil 3mg/g cream,07040500
60847,Vitaros 3mg/g cream (Takeda UK Ltd),07040500
60886,Spedra 50mg tablets (A. Menarini Farmaceutica Internazionale SRL),07040500
61012,Avanafil 200mg tablets,07040500
61184,Sildenafil 100mg tablets (Teva UK Ltd),07040500
61297,Avanafil 100mg tablets,07040500
61337,Avanafil 50mg tablets,07040500
61597,Spedra 100mg tablets (A. Menarini Farmaceutica Internazionale SRL),07040500
61844,Invicorp 2 solution for injection (Senetek Plc),07040500
61931,Spedra 200mg tablets (A. Menarini Farmaceutica Internazionale SRL),07040500
62049,Papaverine 30mg/1ml solution for injection ampoules,07040500
62352,Sildenafil 100mg tablets (Pfizer Ltd),07040500
62622,Sildenafil 100mg tablets (Actavis UK Ltd),07040500
62715,Sildenafil 50mg tablets (Actavis UK Ltd),07040500
62844,Sildenafil 50mg tablets (Pfizer Ltd),07040500
63179,Phentolamine 1mg/0.35ml / Aviptadil 25micrograms/0.35ml solution for injection ampoules,07040500
63611,Cialis 5mg tablets (Mawdsley-Brooks & Company Ltd),07040501
64194,Stud 100 Desensitizing Spray for Men (Pound International Ltd),07040500
64204,Sildenafil 100mg tablets (A A H Pharmaceuticals Ltd),07040500
