medcode,readcode,Coding_ID,Cluster_ID,Cluster_Description,Cluster_Version,readterm,,,,
62674,C10FA,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with mononeuropathy,,,,
63690,C10FR,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with gastroparesis,,,,
64668,C10FJ,Read V2,DM_COD,Codes for diabetes,102,Insulin treated Type 2 diabetes mellitus,,,,
65267,C10F3,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with multiple complications,,,,
67212,C10H0,Read V2,DM_COD,Codes for diabetes,102,Diabetes mellitus induced by non-steroid drugs without complication,,,,
91646,C10F4,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with ulcer,,,,
93380,C10N1,Read V2,DM_COD,Codes for diabetes,102,Cystic fibrosis related diabetes mellitus,,,,
93727,C10FE,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with diabetic cataract,,,,
94383,C10N0,Read V2,DM_COD,Codes for diabetes,102,Secondary diabetes mellitus without complication,,,,
95351,C10FA,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with mononeuropathy,,,,
96506,C10G0,Read V2,DM_COD,Codes for diabetes,102,Secondary pancreatic diabetes mellitus without complication,,,,
98392,C10C.,Read V2,DM_COD,Codes for diabetes,102,Diabetes mellitus autosomal dominant,,,,
98616,C10F2,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with neurological complications,,,,
98723,C10FD,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with hypoglycaemic coma,,,,
100964,C10F1,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with ophthalmic complications,,,,
102201,C10FC,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with nephropathy,,,,
103902,C10FG,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with arthropathy,,,,
104323,C10F5,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with gangrene,,,,
104639,C10FF,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with peripheral angiopathy,,,,
106061,C10FP,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with ketoacidotic coma,,,,
106528,C10FN,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with ketoacidosis,,,,
106926,PKyP.,Read V2,DM_COD,Codes for diabetes,102,"Diabetes insipidus, diabetes mellitus, optic atrophy and deafness",,,,
106927,PKyP.,Read V2,DM_COD,Codes for diabetes,102,"Diabetes insipidus, diabetes mellitus, optic atrophy and deafness",,,,
107603,C10P.,Read V2,DM_COD,Codes for diabetes,102,Diabetes mellitus in remission,,,,
107701,C10FK,Read V2,DM_COD,Codes for diabetes,102,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,,,,
107824,C10P1,Read V2,DM_COD,Codes for diabetes,102,Type II diabetes mellitus in remission,,,,
109197,C10FH,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with neuropathic arthropathy,,,,
