medcode,readcode,Coding_ID,Cluster_ID,Cluster_Description,Cluster_Version,readterm,,,,
55239,C10EQ,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with gastroparesis,,,,
62209,C10EM,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with ketoacidosis,,,,
62613,C10EA,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus without complication,,,,
66145,C10EN,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with ketoacidotic coma,,,,
68105,C10EB,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with mononeuropathy,,,,
69676,C10EA,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus without complication,,,,
69993,C10E6,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with gangrene,,,,
72702,C10E8,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus - poor control,,,,
91942,C10E3,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with multiple complications,,,,
91943,C10EC,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with polyneuropathy,,,,
93468,C10EG,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with peripheral angiopathy,,,,
93875,C10E7,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with retinopathy,,,,
93878,C10E5,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with ulcer,,,,
95343,C10E7,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with retinopathy,,,,
95539,C10FS,Read V2,DM_COD,Codes for diabetes,102,Maternally inherited diabetes mellitus,,,,
95636,C10ER,Read V2,DM_COD,Codes for diabetes,102,Latent autoimmune diabetes mellitus in adult,,,,
96235,C10E9,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus maturity onset,,,,
97849,C10E9,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus maturity onset,,,,
97894,C10EP,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with exudative maculopathy,,,,
98071,C10E1,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with ophthalmic complications,,,,
98704,C10E5,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with ulcer,,,,
99311,C10E1,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with ophthalmic complications,,,,
99716,C10EE,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with hypoglycaemic coma,,,,
99719,C10EA,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus without complication,,,,
100770,C10EF,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with diabetic cataract,,,,
101311,C10EC,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with polyneuropathy,,,,
101735,C10E2,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with neurological complications,,,,
102112,C10E6,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with gangrene,,,,
102163,C10ED,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with nephropathy,,,,
102946,C10E0,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with renal complications,,,,
105337,C10E8,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus - poor control,,,,
108360,C10P0,Read V2,DM_COD,Codes for diabetes,102,Type I diabetes mellitus in remission,,,,
108724,C10EQ,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with gastroparesis,,,,
109051,C10E6,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with gangrene,,,,
109628,C10P0,Read V2,DM_COD,Codes for diabetes,102,Type I diabetes mellitus in remission,,,,
109837,C10E0,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with renal complications,,,,
